step,x_center,y_center,width,height,conf,label
0,101.8546142578125,44.39891815185547,52.291847229003906,77.57234191894531,0.9745018482208252,Blue Block
0,145.67117309570312,47.36472702026367,28.613494873046875,22.95806884765625,0.9431976675987244,Blue Block
1,101.93487548828125,44.331031799316406,52.27367401123047,77.67939758300781,0.9751335978507996,Blue Block
1,145.71351623535156,47.346370697021484,28.538238525390625,22.91883087158203,0.9413750767707825,Blue Block
2,101.93487548828125,44.331031799316406,52.27367401123047,77.67939758300781,0.9751335978507996,Blue Block
2,145.71351623535156,47.346370697021484,28.538238525390625,22.91883087158203,0.9413750767707825,Blue Block
3,101.83866882324219,44.35831832885742,52.34125518798828,77.61101531982422,0.975159227848053,Blue Block
3,145.72921752929688,47.36600875854492,28.524322509765625,22.903892517089844,0.9425069689750671,Blue Block
4,101.83866882324219,44.35831832885742,52.34125518798828,77.61101531982422,0.975159227848053,Blue Block
4,145.72921752929688,47.36600875854492,28.524322509765625,22.903892517089844,0.9425069689750671,Blue Block
5,101.91665649414062,44.35277557373047,52.4171142578125,77.65992736816406,0.9745107293128967,Blue Block
5,145.71556091308594,47.34918975830078,28.55511474609375,22.919952392578125,0.9414466023445129,Blue Block
6,101.91665649414062,44.35277557373047,52.4171142578125,77.65992736816406,0.9745107293128967,Blue Block
6,145.71556091308594,47.34918975830078,28.55511474609375,22.919952392578125,0.9414466023445129,Blue Block
7,120.57959747314453,59.76573181152344,51.82038879394531,44.56782531738281,0.9515263438224792,Blue Block
7,155.62246704101562,35.91230010986328,8.92578125,50.00648498535156,0.36840635538101196,Blue Block
8,120.57959747314453,59.76573181152344,51.82038879394531,44.56782531738281,0.9515263438224792,Blue Block
8,155.62246704101562,35.91230010986328,8.92578125,50.00648498535156,0.36840635538101196,Blue Block
9,149.6361846923828,73.94934844970703,20.12506103515625,23.543415069580078,0.8443214297294617,Blue Block
10,149.6361846923828,73.94934844970703,20.12506103515625,23.543415069580078,0.8443214297294617,Blue Block
13,6.966243743896484,31.195106506347656,13.952438354492188,46.16328430175781,0.7368468046188354,Green Block
14,6.966243743896484,31.195106506347656,13.952438354492188,46.16328430175781,0.7368468046188354,Green Block
15,31.22406768798828,38.07640075683594,45.24114990234375,52.67881774902344,0.9585205912590027,Green Block
15,144.13890075683594,6.789240837097168,26.063201904296875,13.382265090942383,0.61275714635849,Black Block
15,144.3408966064453,6.636553764343262,26.444976806640625,13.176790237426758,0.3611302971839905,Blue Block
16,31.22406768798828,38.07640075683594,45.24114990234375,52.67881774902344,0.9585205912590027,Green Block
16,144.13890075683594,6.789240837097168,26.063201904296875,13.382265090942383,0.61275714635849,Black Block
16,144.3408966064453,6.636553764343262,26.444976806640625,13.176790237426758,0.3611302971839905,Blue Block
17,90.5296630859375,38.62580108642578,41.81510925292969,50.82859802246094,0.9674290418624878,Green Block
17,47.94843292236328,66.90158081054688,16.588134765625,8.45663833618164,0.2914232015609741,Green Block
18,90.5296630859375,38.62580108642578,41.81510925292969,50.82859802246094,0.9674290418624878,Green Block
18,47.94843292236328,66.90158081054688,16.588134765625,8.45663833618164,0.2914232015609741,Green Block
19,131.3572998046875,38.79933547973633,43.237548828125,50.445091247558594,0.9676149487495422,Green Block
19,10.558269500732422,40.490379333496094,21.400924682617188,78.38041687011719,0.8842861652374268,Red Block
19,28.097003936767578,35.09680938720703,38.19200897216797,62.25749206542969,0.8595158457756042,Red Block
19,95.07283782958984,67.28499603271484,19.168289184570312,9.68887710571289,0.33564290404319763,Green Block
20,131.3572998046875,38.79933547973633,43.237548828125,50.445091247558594,0.9676149487495422,Green Block
20,10.558269500732422,40.490379333496094,21.400924682617188,78.38041687011719,0.8842861652374268,Red Block
20,28.097003936767578,35.09680938720703,38.19200897216797,62.25749206542969,0.8595158457756042,Red Block
20,95.07283782958984,67.28499603271484,19.168289184570312,9.68887710571289,0.33564290404319763,Green Block
21,141.38748168945312,44.66047668457031,37.684783935546875,65.03280639648438,0.9713461995124817,Green Block
21,37.41905212402344,41.98231506347656,47.8897705078125,74.72003173828125,0.969190776348114,Red Block
22,141.38748168945312,44.66047668457031,37.684783935546875,65.03280639648438,0.9713461995124817,Green Block
22,37.41905212402344,41.98231506347656,47.8897705078125,74.72003173828125,0.969190776348114,Red Block
23,92.2513427734375,58.22487258911133,45.21836853027344,42.52490997314453,0.945304274559021,Red Block
23,119.50439453125,23.048336029052734,45.80335235595703,31.209991455078125,0.9109957218170166,Red Block
24,92.2513427734375,58.22487258911133,45.21836853027344,42.52490997314453,0.945304274559021,Red Block
24,119.50439453125,23.048336029052734,45.80335235595703,31.209991455078125,0.9109957218170166,Red Block
25,134.35031127929688,45.16038513183594,49.214630126953125,73.62986755371094,0.9763335585594177,Red Block
25,7.138453483581543,51.25700378417969,14.021448135375977,53.13414001464844,0.7311679124832153,Epuck
26,134.35031127929688,45.16038513183594,49.214630126953125,73.62986755371094,0.9763335585594177,Red Block
26,7.138453483581543,51.25700378417969,14.021448135375977,53.13414001464844,0.7311679124832153,Epuck
27,29.711654663085938,50.61772537231445,59.59205627441406,51.70384979248047,0.9547897577285767,Epuck
28,29.711654663085938,50.61772537231445,59.59205627441406,51.70384979248047,0.9547897577285767,Epuck
29,13.817159652709961,41.231201171875,27.433490753173828,71.09208679199219,0.9519236087799072,Blue Block
29,106.71415710449219,52.28986358642578,63.611488342285156,50.57978820800781,0.933236300945282,Epuck
29,132.12030029296875,7.014845848083496,56.880950927734375,14.164438247680664,0.8575223684310913,Black Block
30,13.817159652709961,41.231201171875,27.433490753173828,71.09208679199219,0.9519236087799072,Blue Block
